                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2245,                 4.8974,                 1.7056,                0.00083,                0.18519,                0.00052,                0.00015,                 1.9559,                  4.598,                 1.6553,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.9714,                 3.8708,                  1.564,                0.00417,                0.92593,                0.03282,                 0.0077,                 1.5273,                 3.7858,                 1.1026,             0.00020548,             0.00020548,             0.00020548
                      3,                 1.6882,                 2.1334,                 1.2119,                 0.0045,                      1,                0.72157,                0.38888,                 1.5534,                 3.2635,                 1.0373,             0.00029512,             0.00029512,             0.00029512
                      4,                 1.4203,                 1.5304,                 1.0758,                 0.0045,                      1,                 0.1919,                0.12443,                  1.485,                 3.3525,                 1.0325,             0.00036892,             0.00036892,             0.00036892
                      5,                 1.3694,                 1.2963,                 1.0794,                 0.0045,                      1,                 0.0109,                0.00585,                  1.437,                 3.5302,                 1.0384,             0.00042688,             0.00042688,             0.00042688
                      6,                 1.2944,                 1.5614,                  1.041,                0.00417,                0.92593,                0.05728,                0.03223,                 1.5578,                 3.5356,                 1.1218,               0.000469,               0.000469,               0.000469
                      7,                 1.3324,                 1.4726,                  1.112,                0.00433,                0.96296,                0.21772,                0.10776,                   1.52,                 3.4749,                 1.1606,             0.00049528,             0.00049528,             0.00049528
                      8,                 1.2571,                 1.3786,                 1.0208,                0.00417,                0.92593,                0.29758,                0.15135,                   1.53,                 3.4171,                 1.1506,             0.00050572,             0.00050572,             0.00050572
                      9,                 1.3522,                 1.3431,                 1.1015,                  0.004,                0.88889,                 0.5009,                0.29198,                 1.5077,                 3.2751,                 1.1408,             0.00050032,             0.00050032,             0.00050032
                     10,                  1.186,                 1.1611,                 1.0326,                      1,                0.41087,                0.69351,                0.39691,                  1.502,                 2.8795,                 1.1153,             0.00047908,             0.00047908,             0.00047908
                     11,                 1.1391,                 1.1225,                0.99928,                      1,                0.52716,                 0.7951,                0.47281,                 1.4804,                 2.6507,                 1.0916,               0.000442,               0.000442,               0.000442
                     12,                 1.1198,                 1.1306,                0.99807,                      1,                0.63959,                0.95743,                0.57121,                 1.4414,                 2.2595,                  1.097,             0.00038908,             0.00038908,             0.00038908
                     13,                 1.0779,                 1.0302,                0.96775,                      1,                0.66759,                0.98129,                0.60643,                 1.3794,                 2.1489,                   1.07,             0.00032032,             0.00032032,             0.00032032
                     14,                 1.1242,                 1.0011,                0.97565,                      1,                0.87749,                0.98741,                0.59806,                  1.456,                 1.8821,                 1.0844,             0.00023572,             0.00023572,             0.00023572
                     15,                 1.1241,                0.99709,                 1.0048,                0.96036,                0.85185,                0.98621,                0.61284,                 1.4165,                 1.8072,                 1.0743,             0.00013528,             0.00013528,             0.00013528
